AP18_Rnk,AP18_Team,AP18_W,AP18_L,TeamID
1,Virginia,31,2,349
2,Villanova,30,4,208
3,Xavier,28,5,195
4,Kansas,27,7,169
5,Michigan State,29,4,78
6,Cincinnati,30,4,166
7,Michigan,28,7,160
8,Gonzaga,30,4,1
9,Duke,26,7,27
10,North Carolina,25,10,281
11,Purdue,28,6,203
12,Arizona,27,7,81
13,Tennessee,25,8,318
14,Texas Tech,24,9,242
15,West Virginia,24,10,232
16,Wichita State,25,7,148
17,Ohio State,24,8,163
18,Kentucky,24,10,190
19,Auburn,25,7,129
20,Clemson,23,9,299
21,Houston,26,7,130
22,Miami (FL,22,9,256
23,Florida,20,12,219
24,Nevada,27,7,69
25,Saint Mary's,28,5,18
