Team1,Seed1,TeamID,Region
Kansas,1,169,MW
Florida,9,220,MW
ETSU,12,44,MW
Vermont,13,168,MW
Illinois,6,107,MW
Duke,3,27,MW
Utah St.,10,7,MW
Creighton,2,38,MW
Dayton,1,26,E
Saint Mary's,8,18,E
Auburn,5,129,E
Louisville,4,134,E
West Virginia,6,232,E
Michigan St,3,78,E
Indiana,10,132,E
Villanova,2,208,E
Baylor,1,298,S
Arizona,9,81,S
Ohio St,5,163,S
Butler,4,167,S
Wichita St,11,148,S
UC Irvine,14,85,S
Providence,7,125,S
Florida St,2,203,S
Gonzaga,1,1,W
Houston,8,130,W
Penn State,5,77,W
Oregon,4,47,W
BYU,6,6,W
Seton Hall,3,117,W
Iowa,7,50,W
San Diego St,2,66,W
